production_compani,Id_production_compani
White Lair,1103
Pro-ject Filmproduktion,1104
Greenfox,1105
PSO International,1106
MGS Film,1107
The Movie Group,1108
Management Company Entertainment Group (MCEG),1109
Lightning Pictures,1110
Aurora Productions,1111
Virgin Films,1112
Guber/Peters Company,1113
Gordon Company,1114
Corsair Pictures,1115
abramoff Production,1116
Istituto Luce,1117
Cinetel Films,1118
Lightyear Entertainment,1119
Paulist Pictures,1120
Bayerischer Rundfunk (BR),1121
Aaron Russo Productions,1122
Universal Pictures Corporation,1123
Alive Films,1124
Beco Films,1125
New South Wales Film Corp.,1126
Virgin Vision,1127
Labrador Films,1128
Katzka-Jaffe,1129
Basket Case Productions,1130
Antoinine Green Bridge,1131
Entre Chien et Loup,1132
Cerito Films,1133
Royal Shakespeare Company,1134
Conundrum Entertainment,1135
LionsGate,1136
i5 Films,1137
Hell's Kitchen Films,1138
Filmfabriken Baltic Sea AB,1139
Tollin/Robbins Productions,1140
Paramount Classics,1141
Independent Film Channel,1142
Nordisk Film,1143
FilmEngine,1144
Magnum Motion Pictures Inc..,1145
Warner Home Video,1146
Crystal Sky Worldwide,1147
Lumen Films,1148
Tai Entertainment,1149
Universal Pictures International (UPI),1150
Uco-Film GmbH,1151
Access Motion Picture Group,1152
Infinity Omnimedia,1153
Discovery Channel Pictures,1154
Juniper Films,1155
Les Films Corona,1156
Academy Pictures,1157
Norlan Productions,1158
Smart Egg Pictures,1159
Granox Productions,1160
Grandon Productions,1161
SinCap Productions,1162
Franton Production,1163
William Goetz Productions,1164
Filmové Studio Barrandov,1165
Fogbound Inc.,1166
Kismet Film Company,1167
Providence Entertainment,1168
V.M. Productions,1169
Wanda Visión S.A.,1170
The Jerry Gross Organization,1171
EMI Films,1172
Chessman Park Productions,1173
Lamitas,1174
Cheyenne Enterprises,1175
CB Films,1176
Asymmetrical Productions,1177
Film Roman Productions,1178
